1927/1928  1        Actor|Richard Barthelmess|The Noose
             Winner Special Achievement Award|Benjamin Burtt, Jr.|Star Wars
             Winner Special Achievement Award (Sound Effects Editing)|Close Encounters of the Third Kind|Frank E. Warner
             Winner Jean Hersholt Humanitarian Award|Charlton Heston|
             Winner Honorary Award|Margaret Booth|
             Winner Irving G. Thalberg Memorial Award|Walter Mirisch|
             Winner Medal of Commendation|Gordon E. Sawyer|
             Winner Medal of Commendation|Sidney Paul Solow|
1978      51        Actor in a Leading Role|Warren Beatty|Heaven Can Wait
                    Actor in a Leading Role|Gary Busey|The Buddy Holly Story
                    Actor in a Leading Role|Robert De Niro|The Deer Hunter
                    Actor in a Leading Role|Laurence Olivier|The Boys from Brazil
             Winner Actor in a Leading Role|Jon Voight|Coming Home
                    Actor in a Supporting Role|Bruce Dern|Coming Home
                    Actor in a Supporting Role|Richard Farnsworth|Comes a Horseman
                    Actor in a Supporting Role|John Hurt|Midnight Express
             Winner Actor in a Supporting Role|Christopher Walken|The Deer Hunter
                    Actor in a Supporting Role|Jack Warden|Heaven Can Wait
                    Actress in a Leading Role|Ingrid Bergman|Autumn Sonata
                    Actress in a Leading Role|Ellen Burstyn|Same Time, Next Year
                    Actress in a Leading Role|Jill Clayburgh|An Unmarried Woman
             Winner Actress in a Leading Role|Jane Fonda|Coming Home
                    Actress in a Leading Role|Geraldine Page|Interiors
                    Actress in a Supporting Role|Dyan Cannon|Heaven Can Wait
                    Actress in a Supporting Role|Penelope Milford|Coming Home
             Winner Actress in a Supporting Role|Maggie Smith|California Suite
                    Actress in a Supporting Role|Maureen Stapleton|Interiors
                    Actress in a Supporting Role|Meryl Streep|The Deer Hunter
                    Art Direction|The Brink's Job|Art Direction: Dean Tavoularis, Angelo Graham; Set Decoration: George R. Nelson, Bruce Kay
                    Art Direction|California Suite|Art Direction: Albert Brenner; Set Decoration: Marvin March
             Winner Art Direction|Heaven Can Wait|Art Direction: Paul Sylbert, Edwin O'Donovan; Set Decoration: George Gaines
                    Art Direction|Interiors|Art Direction: Mel Bourne; Set Decoration: Daniel Robert
                    Art Direction|The Wiz|Art Direction: Tony Walton, Philip Rosenberg; Set Decoration: Edward Stewart, Robert Drumheller
             Winner Cinematography|Days of Heaven|Nestor Almendros
                    Cinematography|The Deer Hunter|Vilmos Zsigmond
                    Cinematography|Heaven Can Wait|William A. Fraker
                    Cinematography|Same Time, Next Year|Robert Surtees
                    Cinematography|The Wiz|Oswald Morris
                    Costume Design|Caravans|Renie Conley
                    Costume Design|Days of Heaven|Patricia Norris
             Winner Costume Design|Death on the Nile|Anthony Powell
                    Costume Design|The Swarm|Paul Zastupnevich
                    Costume Design|The Wiz|Tony Walton
                    Directing|Coming Home|Hal Ashby
             Winner Directing|The Deer Hunter|Michael Cimino
                    Directing|Heaven Can Wait|Warren Beatty, Buck Henry
                    Directing|Interiors|Woody Allen
                    Directing|Midnight Express|Alan Parker
                    Documentary (Feature)|The Lovers' Wind|Albert Lamorisse, Producer
                    Documentary (Feature)|Mysterious Castles of Clay|Alan Root, Producer
                    Documentary (Feature)|Raoni|Jean-Pierre Dutilleux, Barry Williams and Michel Gast, Producers
             Winner Documentary (Feature)|Scared Straight!|Arnold Shapiro, Producer
                    Documentary (Feature)|With Babies and Banners: Story of the Women's Emergency Brigade|Anne Bohlen, Lyn Goldfarb and Lorraine Gray, Producers
                    Documentary (Short Subject)|The Divided Trail: A Native American Odyssey|Jerry Aronson, Producer
                    Documentary (Short Subject)|An Encounter with Faces|K.K. Kapil, Producer
             Winner Documentary (Short Subject)|The Flight of the Gossamer Condor|Jacqueline Phillips Shedd and Ben Shedd, Producers
                    Documentary (Short Subject)|Goodnight Miss Ann|August Cinquegrana, Producer
                    Documentary (Short Subject)|Squires of San Quentin|J. Gary Mitchell, Producer
                    Film Editing|The Boys from Brazil|Robert E. Swink
                    Film Editing|Coming Home|Don Zimmerman
             Winner Film Editing|The Deer Hunter|Peter Zinner
                    Film Editing|Midnight Express|Gerry Hambling
                    Film Editing|Superman|Stuart Baird
             Winner Foreign Language Film|Get Out Your Handkerchiefs|France
                    Foreign Language Film|The Glass Cell|German Federal Republic
                    Foreign Language Film|Hungarians|Hungary
                    Foreign Language Film|Viva Italia!|Italy
                    Foreign Language Film|White Bim Black Ear|Union of Soviet Socialist Republics
             Winner Music (Adaptation Score)|The Buddy Holly Story|Joe Renzetti
                    Music (Adaptation Score)|Pretty Baby|Jerry Wexler
                    Music (Adaptation Score)|The Wiz|Quincy Jones
                    Music (Original Score)|The Boys from Brazil|Jerry Goldsmith
                    Music (Original Score)|Days of Heaven|Ennio Morricone
                    Music (Original Score)|Heaven Can Wait|Dave Grusin
             Winner Music (Original Score)|Midnight Express|Giorgio Moroder
                    Music (Original Score)|Superman|John Williams
                    Music (Original Song)|"""Hopelessly Devoted To You"" from Grease"|Music and Lyrics by John Farrar
             Winner Music (Original Song)|"""Last Dance"" from Thank God It's Friday"|Music and Lyrics by Paul Jabara
                    Music (Original Song)|"""The Last Time I Felt Like This"" from Same Time, Next Year"|Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman
                    Music (Original Song)|"""Ready To Take A Chance Again"" from Foul Play"|Music by Charles Fox; Lyrics by Norman Gimbel
                    Music (Original Song)|"""When You're Loved"" from The Magic of Lassie"|Music and Lyrics by Richard M. Sherman and Robert B. Sherman
                    Best Picture|Coming Home|Jerome Hellman, Producer
             Winner Best Picture|The Deer Hunter|Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers
                    Best Picture|Heaven Can Wait|Warren Beatty, Producer
                    Best Picture|Midnight Express|Alan Marshall and David Puttnam, Producers
                    Best Picture|An Unmarried Woman|Paul Mazursky and Tony Ray, Producers
                    Short Film (Animated)|Oh My Darling|Nico Crama, Producer
                    Short Film (Animated)|Rip Van Winkle|Will Vinton, Producer
             Winner Short Film (Animated)|Special Delivery|Eunice Macaulay and John Weldon, Producers
                    Short Film (Live Action)|A Different Approach|Jim Belcher and Fern Field, Producers
                    Short Film (Live Action)|Mandy's Grandmother|Andrew Sugerman, Producer
                    Short Film (Live Action)|Strange Fruit|Seth Pinsker, Producer
             Winner Short Film (Live Action)|Teenage Father|Taylor Hackford, Producer
                    Sound|The Buddy Holly Story|Tex Rudloff, Joel Fein, Curly Thirlwell, Willie Burton
                    Sound|Days of Heaven|John K. Wilkinson, Robert W. Glass, Jr., John T. Reitz, Barry Thomas
             Winner Sound|The Deer Hunter|Richard Portman, William McCaughey, Aaron Rochin, Darin Knight
                    Sound|Hooper|Robert Knudson, Robert J. Glass, Don MacDougall, Jack Solomon
                    Sound|Superman|Gordon K. McCallum, Graham Hartstone, Nicolas Le Messurier, Roy Charman
                    Writing (Screenplay Based on Material from Another Medium)|Bloodbrothers|Walter Newman
                    Writing (Screenplay Based on Material from Another Medium)|California Suite|Neil Simon
                    Writing (Screenplay Based on Material from Another Medium)|Heaven Can Wait|Elaine May, Warren Beatty
             Winner Writing (Screenplay Based on Material from Another Medium)|Midnight Express|Oliver Stone
                    Writing (Screenplay Based on Material from Another Medium)|Same Time, Next Year|Bernard Slade
                    Writing (Screenplay Written Directly for the Screen)|Autumn Sonata|Ingmar Bergman
             Winner Writing (Screenplay Written Directly for the Screen)|Coming Home|Story by Nancy Dowd; Screenplay by Waldo Salt, Robert C. Jones
                    Writing (Screenplay Written Directly for the Screen)|The Deer Hunter|Story by Michael Cimino, Deric Washburn, Louis Garfinkle, Quinn K. Redeker; Screenplay by Deric Washburn
                    Writing (Screenplay Written Directly for the Screen)|Interiors|Woody Allen
                    Writing (Screenplay Written Directly for the Screen)|An Unmarried Woman|Paul Mazursky
             Winner Special Achievement Award (Visual Effects)|Superman|Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, Zoran Perisic
             Winner Jean Hersholt Humanitarian Award|Leo Jaffe|
             Winner Honorary Award|Walter Lantz|
             Winner Honorary Award|The Museum of Modern Art Department of Film|
             Winner Honorary Award|Laurence Olivier|
             Winner Honorary Award|King Vidor|
             Winner Medal of Commendation|Linwood G. Dunn|
             Winner Medal of Commendation|Loren L. Ryder|
             Winner Medal of Commendation|Waldon O. Watson|
1979      52 Winner Actor in a Leading Role|Dustin Hoffman|Kramer vs. Kramer
                    Actor in a Leading Role|Jack Lemmon|The China Syndrome
                    Actor in a Leading Role|Al Pacino|...And Justice for All
                    Actor in a Leading Role|Roy Scheider|All That Jazz
                    Actor in a Leading Role|Peter Sellers|Being There
             Winner Actor in a Supporting Role|Melvyn Douglas|Being There
                    Actor in a Supporting Role|Robert Duvall|Apocalypse Now
                    Actor in a Supporting Role|Frederic Forrest|The Rose
                    Actor in a Supporting Role|Justin Henry|Kramer vs. Kramer
                    Actor in a Supporting Role|Mickey Rooney|The Black Stallion
                    Actress in a Leading Role|Jill Clayburgh|Starting Over
             Winner Actress in a Leading Role|Sally Field|Norma Rae
                    Actress in a Leading Role|Jane Fonda|The China Syndrome
                    Actress in a Leading Role|Marsha Mason|Chapter Two
                    Actress in a Leading Role|Bette Midler|The Rose
                    Actress in a Supporting Role|Jane Alexander|Kramer vs. Kramer
                    Actress in a Supporting Role|Barbara Barrie|Breaking Away
                    Actress in a Supporting Role|Candice Bergen|Starting Over
                    Actress in a Supporting Role|Mariel Hemingway|Manhattan
             Winner Actress in a Supporting Role|Meryl Streep|Kramer vs. Kramer
                    Art Direction|Alien|Art Direction: Michael Seymour, Les Dilley, Roger Christian; Set Decoration: Ian Whittaker
             Winner Art Direction|All That Jazz|Art Direction: Philip Rosenberg, Tony Walton; Set Decoration: Edward Stewart, Gary Brink
                    Art Direction|Apocalypse Now|Art Direction: Dean Tavoularis, Angelo Graham; Set Decoration: George R. Nelson
                    Art Direction|The China Syndrome|Art Direction: George Jenkins; Set Decoration: Arthur Jeph Parker
                    Art Direction|Star Trek - The Motion Picture|Art Direction: Harold Michelson, Joe Jennings, Leon Harris, John Vallone; Set Decoration: Linda DeScenna
                    Cinematography|All That Jazz|Giuseppe Rotunno
             Winner Cinematography|Apocalypse Now|Vittorio Storaro
                    Cinematography|The Black Hole|Frank Phillips
                    Cinematography|Kramer vs. Kramer|Nestor Almendros
                    Cinematography|1941|William A. Fraker
                    Costume Design|Agatha|Shirley Russell
             Winner Costume Design|All That Jazz|Albert Wolsky
                    Costume Design|Butch and Sundance: The Early Days|William Ware Theiss
                    Costume Design|The Europeans|Judy Moorcroft
                    Costume Design|La Cage aux Folles|Piero Tosi, Ambra Danon
                    Directing|All That Jazz|Bob Fosse
                    Directing|Apocalypse Now|Francis Coppola
                    Directing|Breaking Away|Peter Yates
             Winner Directing|Kramer vs. Kramer|Robert Benton
                    Directing|La Cage aux Folles|Edouard Molinaro
             Winner Documentary (Feature)|Best Boy|Ira Wohl, Producer
                    Documentary (Feature)|Generation on the Wind|David A. Vassar, Producer
                    Documentary (Feature)|Going the Distance|Paul Cowan and Jacques Bobet, Producers
                    Documentary (Feature)|The Killing Ground|Steve Singer and Tom Priestley, Producers
                    Documentary (Feature)|The War at Home|Glenn Silber and Barry Alexander Brown, Producers
                    Documentary (Short Subject)|Dae|Risto Teofilovski, Producer
                    Documentary (Short Subject)|Koryo Celadon|Donald A. Connolly and James R. Messenger, Producers
                    Documentary (Short Subject)|Nails|Phillip Borsos, Producer
             Winner Documentary (Short Subject)|Paul Robeson: Tribute to an Artist|Saul J. Turell, Producer
                    Documentary (Short Subject)|Remember Me|Dick Young, Producer
             Winner Film Editing|All That Jazz|Alan Heim
                    Film Editing|Apocalypse Now|Richard Marks, Walter Murch, Gerald B. Greenberg, Lisa Fruchtman
                    Film Editing|The Black Stallion|Robert Dalva
                    Film Editing|Kramer vs. Kramer|Jerry Greenberg
                    Film Editing|The Rose|Robert L. Wolfe, C. Timothy O'Meara
                    Foreign Language Film|The Maids of Wilko|Poland
                    Foreign Language Film|Mama Turns a Hundred|Spain
                    Foreign Language Film|A Simple Story|France
             Winner Foreign Language Film|The Tin Drum|Federal Republic of Germany
                    Foreign Language Film|To Forget Venice|Italy
                    Music (Original Score)|The Amityville Horror|Lalo Schifrin
                    Music (Original Score)|The Champ|Dave Grusin
             Winner Music (Original Score)|A Little Romance|Georges Delerue
                    Music (Original Score)|Star Trek - The Motion Picture|Jerry Goldsmith
                    Music (Original Score)|10|Henry Mancini
             Winner Music (Original Song Score and Its Adaptation -Or- Adaptation Score)|All That Jazz|Adaptation Score by Ralph Burns
                    Music (Original Song Score and Its Adaptation -Or- Adaptation Score)|Breaking Away|Adaptation Score by Patrick Williams
                    Music (Original Song Score and Its Adaptation -Or- Adaptation Score)|The Muppet Movie|Song Score by Paul Williams and Kenny Ascher; Adaptation Score by Paul Williams
                    Music (Original Song)|"""I'll Never Say 'Goodbye'"" from The Promise"|Music by David Shire; Lyric by Alan Bergman and Marilyn Bergman
             Winner Music (Original Song)|"""It Goes Like It Goes"" from Norma Rae"|Music by David Shire; Lyric by Norman Gimbel
                    Music (Original Song)|"""It's Easy To Say"" from 10"|Music by Henry Mancini; Lyric by Robert Wells
                    Music (Original Song)|"""The Rainbow Connection"" from The Muppet Movie"|Music and Lyric by Paul Williams and Kenny Ascher
                    Music (Original Song)|"""Through The Eyes Of Love"" from Ice Castles"|Music by Marvin Hamlisch; Lyric by Carole Bayer Sager
                    Best Picture|All That Jazz|Robert Alan Aurthur, Producer
                    Best Picture|Apocalypse Now|Francis Coppola, Producer; Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers
                    Best Picture|Breaking Away|Peter Yates, Producer
             Winner Best Picture|Kramer vs. Kramer|Stanley R. Jaffe, Producer
                    Best Picture|Norma Rae|Tamara Asseyev and Alex Rose, Producers
                    Short Film (Animated)|Dream Doll|Bob Godfrey and Zlatko Grgic, Producers
             Winner Short Film (Animated)|Every Child|Derek Lamb, Producer
                    Short Film (Animated)|It's So Nice to Have a Wolf around the House|Paul Fierlinger, Producer
             Winner Short Film (Live Action)|Board and Care|Sarah Pillsbury and Ron Ellis, Producers
                    Short Film (Live Action)|Bravery in the Field|Roman Kroitor and Stefan Wodoslawsky, Producers
                    Short Film (Live Action)|Oh Brother, My Brother|Carol Lowell and Ross Lowell, Producers
                    Short Film (Live Action)|The Solar Film|Saul Bass and Michael Britton, Producers
                    Short Film (Live Action)|Solly's Diner|Harry Mathias, Jay Zukerman and Larry Hankin, Producers
             Winner Sound|Apocalypse Now|Walter Murch, Mark Berger, Richard Beggs, Nat Boxer
                    Sound|The Electric Horseman|Arthur Piantadosi, Les Fresholtz, Michael Minkler, Al Overton
                    Sound|Meteor|William McCaughey, Aaron Rochin, Michael J. Kohut, Jack Solomon
                    Sound|1941|Robert Knudson, Robert J. Glass, Don MacDougall, Gene S. Cantamessa
                    Sound|The Rose|Theodore Soderberg, Douglas Williams, Paul Wells, Jim Webb
             Winner Visual Effects|Alien|H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling
                    Visual Effects|The Black Hole|Peter Ellenshaw, Art Cruickshank, Eustace Lycett, Danny Lee, Harrison Ellenshaw, Joe Hale
                    Visual Effects|Moonraker|Derek Meddings, Paul Wilson, John Evans
                    Visual Effects|1941|William A. Fraker, A. D. Flowers, Gregory Jein
                    Visual Effects|Star Trek - The Motion Picture|Douglas Trumbull, John Dykstra, Richard Yuricich, Robert Swarthe, Dave Stewart, Grant McCune
                    Writing (Screenplay Based on Material from Another Medium)|Apocalypse Now|John Milius, Francis Coppola
             Winner Writing (Screenplay Based on Material from Another Medium)|Kramer vs. Kramer|Robert Benton
                    Writing (Screenplay Based on Material from Another Medium)|La Cage aux Folles|Francis Veber, Edouard Molinaro, Marcello Danon, Jean Poiret
                    Writing (Screenplay Based on Material from Another Medium)|A Little Romance|Allan Burns
                    Writing (Screenplay Based on Material from Another Medium)|Norma Rae|Irving Ravetch, Harriet Frank, Jr.
                    Writing (Screenplay Written Directly for the Screen)|All That Jazz|Robert Alan Aurthur, Bob Fosse
                    Writing (Screenplay Written Directly for the Screen)|...And Justice for All|Valerie Curtin, Barry Levinson
             Winner Writing (Screenplay Written Directly for the Screen)|Breaking Away|Steve Tesich
                    Writing (Screenplay Written Directly for the Screen)|The China Syndrome|Mike Gray, T.S. Cook, James Bridges
                    Writing (Screenplay Written Directly for the Screen)|Manhattan|Woody Allen, Marshall Brickman
             Winner Special Achievement Award (Sound Editing)|The Black Stallion|Alan Splet
             Winner Jean Hersholt Humanitarian Award|Robert Benjamin|
             Winner Honorary Award|Alec Guinness|
             Winner Honorary Award|Hal Elias|
             Winner Irving G. Thalberg Memorial Award|Ray Stark|
             Winner Medal of Commendation|John O. Aalberg|
             Winner Medal of Commendation|Charles G. Clarke|
             Winner Medal of Commendation|John G. Frayne|
1980      53 Winner Actor in a Leading Role|Robert De Niro|Raging Bull
                    Actor in a Leading Role|Robert Duvall|The Great Santini
                    Actor in a Leading Role|John Hurt|The Elephant Man
                    Actor in a Leading Role|Jack Lemmon|Tribute
                    Actor in a Leading Role|Peter O'Toole|The Stunt Man
                    Actor in a Supporting Role|Judd Hirsch|Ordinary People
             Winner Actor in a Supporting Role|Timothy Hutton|Ordinary People
                    Actor in a Supporting Role|Michael O'Keefe|The Great Santini
                    Actor in a Supporting Role|Joe Pesci|Raging Bull
                    Actor in a Supporting Role|Jason Robards|Melvin and Howard
                    Actress in a Leading Role|Ellen Burstyn|Resurrection
                    Actress in a Leading Role|Goldie Hawn|Private Benjamin
                    Actress in a Leading Role|Mary Tyler Moore|Ordinary People
                    Actress in a Leading Role|Gena Rowlands|Gloria
             Winner Actress in a Leading Role|Sissy Spacek|Coal Miner's Daughter
                    Actress in a Supporting Role|Eileen Brennan|Private Benjamin
                    Actress in a Supporting Role|Eva Le Gallienne|Resurrection
                    Actress in a Supporting Role|Cathy Moriarty|Raging Bull
                    Actress in a Supporting Role|Diana Scarwid|Inside Moves
             Winner Actress in a Supporting Role|Mary Steenburgen|Melvin and Howard
                    Art Direction|Coal Miner's Daughter|Art Direction: John W. Corso; Set Decoration: John M. Dwyer
                    Art Direction|The Elephant Man|Art Direction: Stuart Craig, Bob Cartwright; Set Decoration: Hugh Scaife
                    Art Direction|The Empire Strikes Back|Art Direction: Norman Reynolds, Leslie Dilley, Harry Lange, Alan Tomkins; Set Decoration: Michael Ford
                    Art Direction|Kagemusha (The Shadow Warrior)|Yoshiro Muraki
             Winner Art Direction|Tess|Art Direction: Pierre Guffroy, Jack Stephens
                    Cinematography|The Blue Lagoon|Nestor Almendros
                    Cinematography|Coal Miner's Daughter|Ralf D. Bode
                    Cinematography|The Formula|James Crabe
                    Cinematography|Raging Bull|Michael Chapman
             Winner Cinematography|Tess|Geoffrey Unsworth, Ghislain Cloquet
                    Costume Design|The Elephant Man|Patricia Norris
                    Costume Design|My Brilliant Career|Anna Senior
                    Costume Design|Somewhere in Time|Jean-Pierre Dorleac
             Winner Costume Design|Tess|Anthony Powell
                    Costume Design|When Time Ran Out|Paul Zastupnevich
                    Directing|The Elephant Man|David Lynch
             Winner Directing|Ordinary People|Robert Redford
                    Directing|Raging Bull|Martin Scorsese
                    Directing|The Stunt Man|Richard Rush
                    Directing|Tess|Roman Polanski
                    Documentary (Feature)|Agee|Ross Spears, Producer
                    Documentary (Feature)|The Day after Trinity|Jon Else, Producer
             Winner Documentary (Feature)|From Mao to Mozart: Isaac Stern in China|Murray Lerner, Producer
                    Documentary (Feature)|Front Line|David Bradbury, Producer
                    Documentary (Feature)|The Yellow Star - The Persecution of the Jews in Europe 1933-45|Bengt von zur Muehlen and Arthur Cohn, Producers
                    Documentary (Short Subject)|Don't Mess with Bill|John Watson and Pen Densham, Producers
                    Documentary (Short Subject)|The Eruption of Mount St. Helens|George Casey, Producer
                    Documentary (Short Subject)|It's the Same World|Dick Young, Producer
             Winner Documentary (Short Subject)|Karl Hess: Toward Liberty|Roland Hallé and Peter W. Ladue, Producers
                    Documentary (Short Subject)|Luther Metke at 94|Richard Hawkins and Jorge Preloran, Producers
                    Film Editing|Coal Miner's Daughter|Arthur Schmidt
                    Film Editing|The Competition|David Blewitt
                    Film Editing|The Elephant Man|Anne V. Coates
                    Film Editing|Fame|Gerry Hambling
             Winner Film Editing|Raging Bull|Thelma Schoonmaker
                    Foreign Language Film|Confidence|Hungary
                    Foreign Language Film|Kagemusha (The Shadow Warrior)|Japan
                    Foreign Language Film|The Last Metro|France
             Winner Foreign Language Film|Moscow Does Not Believe in Tears|Union of Soviet Socialist Republics
                    Foreign Language Film|The Nest|Spain
                    Music (Original Score)|Altered States|John Corigliano
                    Music (Original Score)|The Elephant Man|John Morris
                    Music (Original Score)|The Empire Strikes Back|John Williams
             Winner Music (Original Score)|Fame|Michael Gore
                    Music (Original Score)|Tess|Philippe Sarde
             Winner Music (Original Song)|"""Fame"" from Fame"|Music by Michael Gore; Lyric by Dean Pitchford
                    Music (Original Song)|"""Nine To Five"" from Nine to Five"|Music and Lyric by Dolly Parton
                    Music (Original Song)|"""On The Road Again"" from Honeysuckle Rose"|Music and Lyric by Willie Nelson
                    Music (Original Song)|"""Out Here On My Own"" from Fame"|Music by Michael Gore; Lyric by Lesley Gore
                    Music (Original Song)|"""People Alone"" from The Competition"|Music by Lalo Schifrin; Lyric by Wilbur Jennings
                    Best Picture|Coal Miner's Daughter|Bernard Schwartz, Producer
                    Best Picture|The Elephant Man|Jonathan Sanger, Producer
             Winner Best Picture|Ordinary People|Ronald L. Schwary, Producer
                    Best Picture|Raging Bull|Irwin Winkler and Robert Chartoff, Producers
                    Best Picture|Tess|Claude Berri, Producer; Timothy Burrill, Co-Producer
                    Short Film (Animated)|All Nothing|Frédéric Back, Producer
             Winner Short Film (Animated)|The Fly|Ferenc Rofusz, Producer
                    Short Film (Animated)|History of the World in Three Minutes Flat|Michael Mills, Producer
             Winner Short Film (Dramatic Live Action)|The Dollar Bottom|Lloyd Phillips, Producer
                    Short Film (Dramatic Live Action)|Fall Line|Bob Carmichael and Greg Lowe, Producers
                    Short Film (Dramatic Live Action)|A Jury of Her Peers|Sally Heckel, Producer
                    Sound|Altered States|Arthur Piantadosi, Les Fresholtz, Michael Minkler, Willie D. Burton
                    Sound|Coal Miner's Daughter|Richard Portman, Roger Heman, Jim Alexander
             Winner Sound|The Empire Strikes Back|Bill Varney, Steve Maslow, Gregg Landaker, Peter Sutton
                    Sound|Fame|Michael J. Kohut, Aaron Rochin, Jay M. Harding, Chris Newman
                    Sound|Raging Bull|Donald O. Mitchell, Bill Nicholson, David J. Kimball, Les Lazarowitz
                    Writing (Screenplay Based on Material from Another Medium)|Breaker Morant|Jonathan Hardy, David Stevens, Bruce Beresford
                    Writing (Screenplay Based on Material from Another Medium)|Coal Miner's Daughter|Tom Rickman
                    Writing (Screenplay Based on Material from Another Medium)|The Elephant Man|Christopher DeVore, Eric Bergren, David Lynch
             Winner Writing (Screenplay Based on Material from Another Medium)|Ordinary People|Alvin Sargent
                    Writing (Screenplay Based on Material from Another Medium)|The Stunt Man|Screenplay by Lawrence B. Marcus; Adaptation by Richard Rush
                    Writing (Screenplay Written Directly for the Screen)|Brubaker|Screenplay by W. D. Richter; Story by W. D. Richter, Arthur Ross
                    Writing (Screenplay Written Directly for the Screen)|Fame|Christopher Gore
             Winner Writing (Screenplay Written Directly for the Screen)|Melvin and Howard|Bo Goldman
                    Writing (Screenplay Written Directly for the Screen)|Mon Oncle D'Amerique|Jean Gruault
                    Writing (Screenplay Written Directly for the Screen)|Private Benjamin|Nancy Meyers, Charles Shyer, Harvey Miller
             Winner Special Achievement Award (Visual Effects)|The Empire Strikes Back|Brian Johnson, Richard Edlund, Dennis Muren, Bruce Nicholson
             Winner Honorary Award|Henry Fonda|
             Winner Medal of Commendation|Fred Hynes|
1981      54        Actor in a Leading Role|Warren Beatty|Reds
             Winner Actor in a Leading Role|Henry Fonda|On Golden Pond
                    Actor in a Leading Role|Burt Lancaster|Atlantic City
                    Actor in a Leading Role|Dudley Moore|Arthur
                    Actor in a Leading Role|Paul Newman|Absence of Malice
                    Actor in a Supporting Role|James Coco|Only When I Laugh
             Winner Actor in a Supporting Role|John Gielgud|Arthur
                    Actor in a Supporting Role|Ian Holm|Chariots of Fire
                    Actor in a Supporting Role|Jack Nicholson|Reds
                    Actor in a Supporting Role|Howard E. Rollins, Jr.|Ragtime
             Winner Actress in a Leading Role|Katharine Hepburn|On Golden Pond
                    Actress in a Leading Role|Diane Keaton|Reds
                    Actress in a Leading Role|Marsha Mason|Only When I Laugh
                    Actress in a Leading Role|Susan Sarandon|Atlantic City
                    Actress in a Leading Role|Meryl Streep|The French Lieutenant's Woman
                    Actress in a Supporting Role|Melinda Dillon|Absence of Malice
                    Actress in a Supporting Role|Jane Fonda|On Golden Pond
                    Actress in a Supporting Role|Joan Hackett|Only When I Laugh
                    Actress in a Supporting Role|Elizabeth McGovern|Ragtime
             Winner Actress in a Supporting Role|Maureen Stapleton|Reds
                    Art Direction|The French Lieutenant's Woman|Art Direction: Assheton Gorton; Set Decoration: Ann Mollo
                    Art Direction|Heaven's Gate|Art Direction: Tambi Larsen; Set Decoration: Jim Berkey
                    Art Direction|Ragtime|Art Direction: John Graysmark, Patrizia Von Brandenstein, Anthony Reading; Set Decoration: George de Titta, Sr., George de Titta, Jr., Peter Howitt
             Winner Art Direction|Raiders of the Lost Ark|Art Direction: Norman Reynolds, Leslie Dilley; Set Decoration: Michael Ford
                    Art Direction|Reds|Art Direction: Richard Sylbert; Set Decoration: Michael Seirton
                    Cinematography|Excalibur|Alex Thomson
                    Cinematography|On Golden Pond|Billy Williams
                    Cinematography|Ragtime|Miroslav Ondricek
                    Cinematography|Raiders of the Lost Ark|Douglas Slocombe
             Winner Cinematography|Reds|Vittorio Storaro
             Winner Costume Design|Chariots of Fire|Milena Canonero
                    Costume Design|The French Lieutenant's Woman|Tom Rand
                    Costume Design|Pennies from Heaven|Bob Mackie
                    Costume Design|Ragtime|Anna Hill Johnstone
                    Costume Design|Reds|Shirley Russell
                    Directing|Atlantic City|Louis Malle
                    Directing|Chariots of Fire|Hugh Hudson
                    Directing|On Golden Pond|Mark Rydell
                    Directing|Raiders of the Lost Ark|Steven Spielberg
             Winner Directing|Reds|Warren Beatty
                    Documentary (Feature)|Against Wind and Tide: A Cuban Odyssey|Suzanne Bauman, Paul Neshamkin and Jim Burroughs, Producers
                    Documentary (Feature)|Brooklyn Bridge|Ken Burns, Producer
                    Documentary (Feature)|Eight Minutes to Midnight: A Portrait of Dr. Helen Caldicott|Mary Benjamin, Susanne Simpson and Boyd Estus, Producers
                    Documentary (Feature)|El Salvador: Another Vietnam|Glenn Silber and Tete Vasconcellos, Producers
             Winner Documentary (Feature)|Genocide|Arnold Schwartzman and Rabbi Marvin Hier, Producers
                    Documentary (Short Subject)|Americas in Transition|Obie Benz, Producer
             Winner Documentary (Short Subject)|Close Harmony|Nigel Noble, Producer
                    Documentary (Short Subject)|Journey for Survival|Dick Young, Producer
                    Documentary (Short Subject)|See What I Say|Linda Chapman, Pam LeBlanc and Freddi Stevens, Producers
                    Documentary (Short Subject)|Urge to Build|Roland Hallé and John Hoover, Producers
                    Film Editing|Chariots of Fire|Terry Rawlings
                    Film Editing|The French Lieutenant's Woman|John Bloom
                    Film Editing|On Golden Pond|Robert L. Wolfe
             Winner Film Editing|Raiders of the Lost Ark|Michael Kahn
                    Film Editing|Reds|Dede Allen, Craig McKay
                    Foreign Language Film|The Boat Is Full|Switzerland
                    Foreign Language Film|Man of Iron|Poland
             Winner Foreign Language Film|Mephisto|Hungary
                    Foreign Language Film|Muddy River|Japan
                    Foreign Language Film|Three Brothers|Italy
             Winner Makeup|An American Werewolf in London|Rick Baker
                    Makeup|Heartbeeps|Stan Winston
             Winner Music (Original Score)|Chariots of Fire|Vangelis
